control,features,scan,money,product,years,player,disc,video,menu,disk,quality,unit,machine,vcd,thing,apex,fine,brand,feature,day,buttons,tv,weeks,company,price,week,picture,play,return,dvds,screen,problems,movies,hours,amazon,number,month,problem,gift,dvd,button,months,days,christmas,reviews,players,discs,t,time,output,model,display
?,?,?,?,?,?,yes,?,yes,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,yes
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,yes,yes,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,yes,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
